"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\INS_task\INS_task.c", "C", 0, 182, 27, 16, 225
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\INS_task\INS_task.h", "C++", 23, 0, 17, 8, 48
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\chassis_task\test_chassis_task.c", "C", 0, 48, 0, 5, 53
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\feedback_task\feedback_task.c", "C", 0, 32, 17, 4, 53
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\feedback_task\feedback_task.h", "C++", 7, 0, 17, 4, 28
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\led_monitor_task\led_monitor_task.c", "C", 0, 59, 17, 3, 79
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\led_monitor_task\led_monitor_task.h", "C++", 7, 0, 17, 4, 28
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\motor_task\motor_task.c", "C", 0, 15, 17, 4, 36
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\motor_task\motor_task.h", "C++", 8, 0, 17, 1, 26
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\quick_test_task.c", "C", 0, 110, 17, 13, 140
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\quick_test_task\quick_test_task.h", "C++", 8, 0, 17, 2, 27
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\user_init\user_init.c", "C", 0, 37, 17, 2, 56
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Application\user_init\user_init.h", "C++", 4, 0, 17, 2, 23
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\BSP\can_comm\can_comm.c", "C", 0, 53, 17, 11, 81
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\BSP\can_comm\can_comm.h", "C++", 28, 0, 17, 7, 52
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\BSP\flash\flash_io.c", "C", 0, 76, 33, 6, 115
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\BSP\flash\flash_io.h", "C++", 35, 0, 19, 7, 61
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\BSP\imu\imu.c", "C", 0, 223, 26, 54, 303
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\BSP\imu\imu.h", "C++", 52, 0, 9, 11, 72
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\BSP\imu\imu_comm.c", "C", 0, 83, 17, 12, 112
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\BSP\imu\imu_comm.h", "C++", 23, 0, 18, 7, 48
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\BSP\imu\ist8310reg.h", "C++", 18, 0, 3, 7, 28
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\BSP\imu\mpu6500reg.h", "C++", 342, 0, 3, 147, 492
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\BSP\user_it.c", "C", 0, 63, 41, 8, 112
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Device\encoder\encoder.c", "C", 0, 68, 17, 7, 92
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Device\encoder\encoder.h", "C++", 19, 0, 17, 5, 41
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Device\motor\motor.c", "C", 0, 63, 17, 12, 92
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Device\motor\motor.h", "C++", 55, 0, 18, 10, 83
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Device\motor\rm_motor.c", "C", 0, 260, 20, 20, 300
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Device\motor\rm_motor.h", "C++", 17, 0, 17, 5, 39
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Device\motor\rmd_motor.c", "C", 0, 249, 20, 20, 289
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Device\motor\rmd_motor.h", "C++", 45, 0, 17, 6, 68
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Device\motor\vesc_motor.c", "C", 0, 225, 22, 17, 264
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Device\motor\vesc_motor.h", "C++", 44, 0, 17, 4, 65
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Device\ops\ops.c", "C", 0, 44, 30, 11, 85
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Device\ops\ops.h", "C++", 16, 0, 17, 5, 38
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Device\sbus\sbus.c", "C", 0, 58, 31, 13, 102
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Driver\Device\sbus\sbus.h", "C++", 13, 0, 17, 5, 35
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Library\algorithm\quintic_trajectory.c", "C", 0, 50, 34, 5, 89
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Library\algorithm\quintic_trajectory.h", "C++", 14, 0, 17, 5, 36
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Library\algorithm\user_lib.c", "C", 0, 138, 52, 21, 211
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Library\algorithm\user_lib.h", "C++", 43, 0, 18, 8, 69
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Library\controller\FSF.c", "C", 0, 56, 17, 8, 81
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Library\controller\FSF.h", "C++", 14, 0, 17, 5, 36
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Library\controller\PID.c", "C", 0, 108, 17, 14, 139
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Library\controller\PID.h", "C++", 34, 0, 17, 6, 57
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Library\controller\controller.c", "C", 0, 11, 32, 6, 49
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Library\controller\controller.h", "C++", 37, 0, 17, 8, 62
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Library\cpu_utils\cpu_utils.c", "C", 0, 46, 84, 15, 145
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Library\cpu_utils\cpu_utils.h", "C++", 14, 0, 44, 8, 66
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Library\stopwatch\stopwatch.c", "C", 0, 50, 45, 7, 102
"c:\Users\ZouYu\Documents\ARES-Robocon2021\ARES\Library\stopwatch\stopwatch.h", "C++", 15, 0, 17, 5, 37
"Total", "-", 935, 2407, 1122, 606, 5070
